0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua&Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia&Herzegovina,Botswana,Brazil,BruneiDarussalem,Bulgaria,BurkinaFaso,Burma,Burundi,Cambodia,Cameroon,Canada,CapeVerde,CentralAfricanRepublic,Chad,Chile,China,Colombia,Comoros,Congo,CongoDemocratic,CostaRica,CotedIvoire,Croatia,Cuba,Cyprus,CzechRepublic,Denmark,Djibouti,Dominica,DominicanRepublic,Ecuador,Egypt,ElSalvador,EquatorialGuinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,HolySee(VaticanCity),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,KoreaNorth,KoreaSouth,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,MarshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,NewZealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,PapuaNewGuinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St.Kitts&Nevis,St.Lucia,St.Vincent&TheGrenadines,Samoa,SanMarino,SaoTome&Principe,SaudiArabia,Senegal,Serbia,Seychelles,SierraLeone,Singapore,Slovakia,Slovenia,SolomonIslands,Somalia,SouthAfrica,SouthSudan,Spain,SriLanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad&Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Dominican Republic,0.226,0.416,0.469,0.08,0.469,0.962,3.12,0.27,0.469,0.524,0.27,0.27,0.147,0.226,0.365,0.316,1.176,0.894,0.226,0.028,0.581,0.365,0.08,4.303,0.147,0.416,0.185,0.226,0.08,0.226,0.365,3.12,0.27,0.028,0.112,3.222,0.365,5.607,0.01,0.185,0.365,3.12,0.365,0.416,2.16,0.365,0.469,0.469,0.052,0.112,0,2.16,0.469,2.16,0.226,0.316,0.316,0.27,0.112,0.469,2.919,0.316,0.316,0.27,3.019,0.365,0.469,0.226,2.16,0.27,0.08,0.185,4.079,2.071,2.16,0.469,0.316,1.032,0.365,0.365,0.365,0.469,2.071,3.019,3.968,2.071,0.365,0.27,0.316,0.01,0.147,2.071,0.316,0.316,0.08,0.147,0.27,0.469,0.08,0.08,0.416,0.08,0.365,0.416,0.365,0.185,0.185,0.316,0.147,0.27,0.316,0.08,0.226,0.226,2.251,0.028,0.147,0.27,0.226,0.185,0.469,0.27,0.226,0.01,0.147,2.071,0.469,2.071,0.08,0.469,0.469,0.112,0.316,0.052,3.12,0.052,0.581,3.222,0.469,0.469,1.176,1.726,0.469,1.103,0.185,0.316,0.316,0.08,0.028,0.147,0.028,0.316,0.365,0.469,0.147,0.052,0.185,0.416,0.416,0.028,0.08,0.469,0.028,3.12,0.316,0.226,0.08,0.052,1.103,1.983,0.416,1.403,0.052,0.316,0.365,0.052,0.08,0.028,0.962,0.416,0.469,0.08,0.01,0.226,0.365,0.316,5.24,7.975,2.16,0.147,0.01,2.251,0.416,0.185,0.226,0.27
Ecuador,0.416,0.469,0.524,0.08,0.469,0.112,4.303,0.316,1.103,1.176,0.416,0.185,0.147,0.365,0.226,0.416,2.071,0.365,0.147,0.028,2.16,0.469,0.147,2.16,0.316,0.469,0.185,0.416,0.185,0.365,0.316,2.16,0.27,0.052,0.08,3.222,1.726,5.607,0.028,0.185,0.365,3.222,0.365,0.524,2.16,0.416,0.524,0.469,0.052,0.112,2.16,0,1.983,2.16,0.226,0.365,0.416,0.316,0.226,0.524,1.896,0.316,0.147,0.365,3.019,0.416,0.524,0.147,4.303,0.316,0.08,0.185,0.469,2.071,2.16,1.176,0.365,1.032,1.176,0.469,0.469,0.524,2.16,2.071,0.416,2.071,0.469,0.416,0.416,0.01,0.416,2.16,0.316,0.469,0.185,0.365,0.316,0.524,0.226,0.147,0.469,0.08,0.416,0.416,0.469,0.147,0.147,1.176,0.27,0.226,0.416,0.052,0.27,0.316,2.251,0.052,0.27,0.226,0.416,0.316,0.524,0.316,0.316,0.01,0.316,3.019,0.524,1.25,0.147,0.524,0.524,0.27,0.469,0.052,5.607,0.226,2.071,7.022,0.524,1.176,0.524,0.469,0.524,1.983,0.316,0.147,0.112,0.052,0.08,0.185,0.028,0.469,0.316,0.524,0.147,0.08,0.828,0.524,0.469,0.028,0.112,0.469,0.052,5.484,0.469,0.365,0.185,0.052,1.176,2.071,0.469,0.365,0.112,0.316,0.469,0.185,0.08,0.052,0.27,0.469,0.524,0.147,0.01,0.27,0.469,0.416,1.896,6.495,2.16,0.416,0.028,2.251,0.524,0.416,0.27,0.416
Egypt,1.983,1.983,5.607,0,2.071,0,2.251,1.81,2.16,4.417,1.983,0,4.079,2.071,0,1.176,3.326,0,1.032,0,1.643,2.071,0.01,2.251,0.894,2.251,1.326,1.562,0.962,0.08,1.983,2.251,0.185,0.962,1.032,2.16,3.326,2.071,0.365,1.726,2.071,0.416,2.071,2.16,2.251,5.607,2.251,3.326,3.536,0,0.469,1.983,0,0.828,0.112,1.983,0.894,3.968,0,2.251,7.022,1.81,0.185,1.176,4.417,3.12,5.732,0,1.562,1.482,0,0,0.01,2.251,0.701,3.326,0.226,7.022,2.251,3.326,3.222,2.16,3.326,7.022,0.01,3.326,9.85,2.071,6.757,0,1.726,2.251,0.27,4.417,0.01,0.052,0.416,8.396,0.365,1.103,7.022,0,1.032,0.365,1.103,0.581,0.365,3.222,0.08,1.643,2.53,0,1.326,1.403,2.16,0,0.08,0.962,0.701,0.185,4.417,2.82,0.828,0,1.562,4.417,0.416,0.147,1.032,3.222,2.251,5.484,4.417,0,1.81,0,0.962,2.071,2.251,4.417,4.417,4.417,3.326,4.417,0.828,0,0,0,0,0.01,0.01,10,2.071,2.251,0.01,0.469,3.858,2.16,2.071,0,0.052,4.417,1.81,4.417,2.16,3.222,0,1.032,2.251,4.417,5.484,0.028,0,4.191,4.417,0,0.64,0,0.01,5.607,7.022,0.01,0,2.722,2.251,10,7.022,5.732,2.071,1.562,0,2.251,2.16,6.757,1.25,1.726
El Salvador,0.27,0.365,0.365,0.08,0.365,0.185,2.071,0.185,0.316,0.365,0.226,0.185,0.147,0.226,0.226,0.27,0.962,1.81,0.147,0.028,0.524,0.365,0.147,2.071,0.185,0.316,0.185,0.27,0.147,0.185,0.27,3.019,0.226,0.052,0.112,2.071,0.028,3.12,0.028,0.08,0.316,6.889,0.27,0.365,1.176,0.226,0.416,0.27,0.052,0.147,2.16,2.16,0.828,0,0.185,0.365,0.27,0.27,0.185,0.365,1.25,0.27,0.27,0.27,2.436,0.226,0.365,0.112,5.484,0.185,0.052,0.147,0.469,1.983,5.484,0.365,0.316,0.581,0.316,0.27,0.316,0.365,1.983,1.643,0.416,1.896,0.316,0.226,0.226,0.028,0.112,1.983,0.226,0.316,0.08,0.147,0.226,0.416,0.147,0.112,0.27,0.08,0.316,0.365,0.316,0.147,0.27,0.316,0.112,0.112,0.27,0.147,0.226,0.147,3.12,0.08,0.147,0.226,0.226,0.185,0.365,0.226,0.185,0.028,0.185,1.032,0.416,5.484,0.112,0.316,0.416,0.08,0.226,0.112,5.484,0.112,0.524,2.16,0.365,0.365,0.365,1.643,0.365,0.316,0.27,0.185,0.185,0.112,0.052,0.226,0.052,0.185,0.316,0.365,0.185,0.052,0.112,0.365,0.365,0.052,0.112,0.226,0.052,2.722,0.316,0.226,0.147,0.08,1.032,0.416,0.416,1.562,0.08,0.226,0.27,0.052,0.08,0.028,0.316,0.316,0.27,0.147,0.028,0.226,0.147,0.226,0.701,5.484,2.071,0.185,0.028,2.071,0.365,0.185,0.226,0.27
Equatorial Guinea,0.112,0.226,0.416,0.226,1.176,0.185,0.226,0.185,0.052,0.08,0.147,0.185,0.185,0.185,0.226,0.147,0.764,0.112,1.983,0.052,0.316,0.185,0.226,0.701,0.147,0.185,0.365,0.185,0.27,0.27,4.079,0.08,0.469,0.316,0.316,0.226,1.032,0.27,0.112,0.469,0.469,0.08,2.071,0.27,1.403,0.185,0.226,0.08,0.112,0.185,0.226,0.226,0.112,0.185,0,0.316,0.185,0.365,0.185,0.147,1.81,4.191,0.365,0.147,1.032,2.919,0.112,0.147,0.147,0.416,0.226,0.185,0.27,0.226,0.112,0.147,0.316,0.01,0.052,0.112,0.185,0.185,0.226,0.028,0.226,0.052,0.27,0.112,0.64,0.052,0.828,0.147,0.185,0.185,0.185,0.185,0.147,0.365,0.226,0.416,0.365,0.147,0.112,0.226,0.27,0.27,0.27,0.08,0.112,0.416,0.316,0.08,0.416,0.316,0.226,0.112,0.185,0.226,0.226,0.27,2.722,0.365,0.469,0.052,0.185,0.052,0.185,0.226,0.416,2.919,0.316,0.112,0.112,0.052,0.147,0.112,0.226,0.27,0.08,0.112,0.365,0.112,0.185,0.416,0.27,0.112,0.185,0.112,0.112,0.147,2.722,0.185,0.469,0.316,0.316,0.365,0.112,0.226,0.185,0.052,0.147,1.726,0.147,1.983,0.226,0.226,0.147,0.147,0.112,0.147,0.316,0.028,0.185,0.226,0.052,0.112,0.469,0.112,0.226,0.365,0.08,0.226,0.052,0.27,0.147,0.185,0.365,0.962,0.27,0.147,0.147,0.185,0.112,0.27,0.316,0.365
Eritrea,0.365,0.365,0.416,0.112,0.365,0.27,0.316,0.365,0.147,0.27,0.365,0.226,0.416,0.416,0.226,0.416,0.701,0.185,0.316,0.08,0.416,0.416,0.365,0.08,0.316,0.27,0.316,0.365,0.416,0.316,0.316,0.581,0.27,0.226,0.316,0.365,1.032,0.365,0.27,0.27,0.365,0.27,0.316,0.365,0.27,0.416,0.27,0.226,1.81,0.27,0.316,0.365,1.983,0.365,0.316,0,0.365,0.469,0.316,0.316,0.962,0.365,0.27,0.365,1.81,0.365,0.226,0.185,0.316,0.365,0.226,0.226,0.27,0.147,0.27,0.365,0.416,0.469,0.27,0.365,0.416,0.316,0.828,1.032,0.27,0.469,0.416,0.316,1.103,0.08,0.316,0.226,0.316,0.469,0.27,0.27,0.316,0.416,0.365,0.365,0.365,0.147,0.365,0.365,0.416,0.416,0.365,0.316,0.316,0.416,0.416,0.112,0.365,0.365,0.27,0.185,0.316,0.316,0.365,0.316,0.365,0.416,0.316,0.08,0.365,1.176,0.316,0.316,0.316,0.27,0.365,0.416,0.416,0.112,0.316,0.226,0.365,0.316,0.316,0.27,0.185,1.81,0.316,1.103,0.416,0.226,0.226,0.185,0.185,0.226,0.112,0.962,0.316,0.365,0.365,0.27,0.316,0.365,0.365,0.08,0.365,1.403,1.726,0.028,0.416,0.469,0.226,0.316,0.764,0.147,1.103,0.052,0.27,0.469,0.316,0.147,0.27,0.112,0.27,0.416,0.226,0.316,0.08,0.469,0.185,0.416,0.962,0.962,0.416,0.316,0.112,0.316,0.27,1.103,0.469,0.416
Estonia,0.416,0.524,0.469,0.112,0.469,0.185,0.469,0.469,0.316,2.071,1.176,0.112,0.27,0.27,0.147,1.176,3.019,0.112,0.185,0.028,0.416,0.524,0.147,1.032,0.147,2.071,0.226,0.27,0.226,0.185,0.27,1.983,0.27,0.112,0.112,0.469,1.643,0.416,0.052,0.27,0.365,0.365,0.27,0.581,0.469,0.524,3.12,3.12,0.052,0.147,0.316,0.416,0.894,0.27,0.185,0.365,0,0.416,0.112,9.702,1.643,0.27,0.185,2.071,3.858,0.316,2.071,0.112,0.365,0.226,0.147,0.08,0.147,0.365,0.316,2.071,0.469,0.365,0.416,0.469,0.469,4.191,1.25,1.896,0.185,1.81,0.416,0.524,0.365,0.028,0.226,0.469,0.469,0.469,0.316,0.226,5.484,0.469,0.27,0.226,0.416,0.08,3.222,0.469,1.176,0.185,0.185,0.316,0.185,0.27,0.469,0.052,0.27,0.316,0.469,0.08,1.176,0.316,0.469,0.416,0.469,0.27,0.226,0.028,0.226,3.019,0.365,0.316,0.185,0.365,4.191,0.226,0.469,0.052,0.316,0.08,0.316,0.416,0.365,3.12,2.071,0.316,0.524,5.24,0.226,0.147,0.147,0.08,0.08,0.185,0.028,0.416,0.185,0.524,0.147,0.147,0.185,0.524,0.524,0.028,0.147,0.416,0.112,2.919,0.365,0.416,0.08,0.052,6.757,0.524,0.469,0.028,0.226,0.316,0.469,0.08,0.147,0.052,0.112,0.469,2.071,0.226,0.028,0.365,3.12,0.469,3.642,1.176,0.416,0.416,0.052,0.416,0.469,0.416,0.365,0.316
Ethiopia,0.416,0.416,0.469,0.08,1.176,0.226,0.416,0.365,0.416,1.896,0.416,0.112,1.103,0.416,0.147,0.416,2.82,0.147,0.365,0.052,0.365,0.469,0.316,1.032,0.316,1.032,1.032,0.365,0.365,0.226,1.103,1.81,0.365,0.764,0.764,0.365,1.81,0.365,0.365,1.032,1.103,0.316,1.103,0.416,1.032,0.416,1.103,1.032,2.82,0.185,0.27,0.316,3.968,0.27,0.365,0.469,0.416,0,0.185,1.103,2.436,1.103,1.032,0.416,3.642,1.983,1.103,0.147,0.27,0.416,0.185,0.185,0.147,1.032,0.226,0.469,0.416,2.919,1.032,0.524,0.469,1.896,2.82,2.82,0.27,1.896,0.524,0.416,3.12,0.028,0.316,0.365,0.365,2.919,0.316,0.185,0.416,1.176,0.962,0.416,0.416,0.08,0.416,0.416,0.365,0.416,0.365,0.469,0.316,1.103,0.416,0.052,0.316,1.032,0.365,0.08,0.27,0.27,0.365,0.316,1.176,1.896,1.032,0.028,0.365,1.81,0.365,0.226,0.316,1.983,0.416,0.524,0.524,0.052,0.27,0.147,0.27,0.316,0.416,1.103,1.103,0.469,1.103,1.81,1.983,0.147,0.185,0.08,0.112,0.147,0.112,3.019,1.983,1.032,0.316,1.032,0.365,0.416,0.416,0.028,1.896,4.079,1.726,0.962,0.469,2.071,0.112,0.894,1.032,1.176,0.469,0.028,0.226,2.071,1.103,0.08,0.894,0.052,0.27,0.469,1.032,0.226,0.028,3.019,1.032,1.983,3.222,1.103,0.365,0.365,0.052,0.316,0.226,3.019,0.469,1.896
Fiji,0.27,0.112,0.08,0.112,0.08,0.185,0.147,0.112,5.983,0.01,0.112,0.185,0.147,0.226,0.185,0.185,0.416,0.185,0.147,0.112,0.185,0.147,0.316,0.01,0.27,0.028,0.147,0.226,0.27,0.316,0.112,0.028,0.185,0.185,0.112,0.185,1.81,0.226,0.112,0.08,0.112,0.08,0.112,0.112,0.01,0.08,0.028,0.028,0.185,0.27,0.112,0.226,0,0.185,0.185,0.316,0.112,0.185,0,0.052,0.962,0.185,0.112,0.147,0,0.185,0.028,0.27,0.08,0.226,0.185,0.27,0.185,0.028,0.08,0.052,0.316,1.032,0.581,0.052,0.112,0.147,0.052,0,0.185,1.032,0.147,0.147,0.185,2.251,0.112,1.326,0.112,0.147,0.27,0.316,0.08,0.08,0.27,0.226,0.028,0.185,0.08,0.226,0.112,0.226,0.316,1.25,0.185,0.226,0.226,0.701,0.147,0.316,0.112,0.828,0.147,0.185,0.316,0.112,0.052,0.226,0.27,1.403,0.316,0.01,2.919,0.112,0.147,0.052,0.052,0.112,0.08,0.226,0.08,1.896,0.27,0.185,0.226,0.028,0.028,0.08,0.028,0,0.316,0.185,0.226,0.226,0.894,0.185,0.112,0.028,0.147,0.08,0.27,0.147,0.316,0.185,0.112,0.894,0.147,1.032,0.185,0,0.27,0.112,0.185,0.226,0.028,0.01,0.226,0.316,0.226,0.147,0.08,0.226,0.185,2.436,0.226,0.08,0.028,0.27,1.25,0.27,0.028,0.147,0.962,3.75,0.226,0.27,2.342,0.052,0.27,0.185,0.27,0.316
Finland,1.176,0.581,1.25,0.01,0.524,0.028,2.251,0.524,1.326,3.326,0.524,0.01,0.416,0.524,0.028,1.326,4.417,0.01,0.185,0.01,0.416,0.581,0.08,2.251,0.416,2.251,0.27,0.416,0.112,0.316,0.416,3.326,0.226,0.028,0.028,2.16,3.222,0.524,0.028,0.27,0.524,0.469,0.416,3.222,1.326,2.16,4.417,4.417,0.147,0.01,0.469,0.524,2.251,0.365,0.147,0.316,9.702,1.103,0.052,0,4.417,0.316,0.27,1.25,4.417,0.469,3.326,0.01,0.416,0.27,0.028,0.028,0.185,1.326,0.365,4.417,2.82,3.222,2.251,2.16,2.16,3.222,2.251,3.326,0.052,4.417,0.581,0.581,1.176,0,0.416,2.251,1.176,0.581,0.226,0.316,4.191,0.581,0.112,0.112,0.581,0.028,4.303,1.176,0.581,0.147,0.08,2.16,0.27,0.27,1.103,0.01,0.112,0.365,2.16,0.01,0.469,0.112,0.416,0.469,2.251,0.962,0.828,0,0.894,4.417,0.524,1.643,0.052,1.25,3.326,0.469,1.326,0.01,0.469,0.052,0.416,2.071,2.16,4.417,3.222,0.524,2.251,8.396,0.365,0.028,0.028,0.01,0.01,0.052,0.01,2.251,0.469,2.251,0.112,0.112,1.81,2.251,2.16,0.01,0.147,2.251,0.028,3.326,0.524,0.524,0.028,0.08,8.396,4.417,1.25,0.08,0.052,1.032,3.222,0.052,0.147,0.01,0.052,2.071,4.417,0.08,0,0.416,4.417,2.16,4.417,3.222,0.524,0.469,0.01,2.16,2.16,0.469,0.894,0.469
France,1.643,3.968,8.396,2.722,3.019,2.722,3.222,2.071,5.607,4.417,1.896,0,2.251,1.983,0,1.983,7.022,0,1.983,0,1.103,4.191,0.316,4.417,1.562,4.417,2.722,1.562,0.962,1.896,2.625,7.022,1.032,0.962,1.726,4.303,5.732,3.019,0.962,1.896,2.919,1.896,3.858,4.303,3.326,6.757,4.417,4.417,1.81,0.962,2.919,1.896,7.022,1.25,1.81,0.962,1.643,2.436,0.962,4.417,0,1.983,1.81,1.983,5.732,2.071,3.326,0,1.482,1.896,0.962,0,1.81,2.251,1.25,4.417,2.82,4.417,2.251,2.251,1.326,4.417,4.417,10,0.365,4.417,4.191,2.071,5.24,0,0.112,4.417,2.919,3.222,0.365,1.032,2.82,6.889,0,0.962,2.251,0,2.919,1.25,3.968,3.75,0.316,3.326,0,1.896,1.103,0,1.81,5,4.417,0,1.896,1.726,1.032,2.919,10,1.176,1.032,0,1.032,7.022,2.82,1.032,1.726,3.222,4.417,1.983,3.222,0,1.81,0.316,1.176,3.12,2.251,4.417,5.732,3.222,4.417,4.417,1.032,0,3.75,0,0,0.316,0,3.326,3.019,4.303,1.726,0.365,3.968,2.16,4.191,0,0.365,3.326,0,7.022,3.019,2.071,0.316,0,4.417,7.022,3.12,0.416,0.316,1.81,3.326,0,1.81,0,1.726,8.115,4.417,0.962,0,1.103,4.417,4.417,10,10,1.983,1.25,0.962,4.417,4.303,2.82,0.962,1.032
Gabon,0.27,0.316,1.176,0.185,4.191,0.147,0.416,0.316,0.316,0.316,0.226,0.112,0.185,0.316,0.147,0.226,1.896,0.08,4.191,0.028,0.316,0.316,0.27,1.896,0.226,0.365,1.103,0.27,0.316,0.185,4.303,0.962,0.469,0.962,0.316,0.365,1.326,0.365,0.112,1.25,2.16,0.185,4.303,0.365,0.469,0.316,0.416,0.316,0.226,0.147,0.316,0.316,1.81,0.27,4.191,0.365,0.27,1.103,0.185,0.316,1.983,0,0.365,0.316,1.403,2.16,0.365,0.08,0.185,1.176,0.185,0.147,0.316,1.896,0.185,0.316,0.316,0.64,0.27,0.365,0.365,0.316,0.416,1.326,0.147,1.562,0.365,0.185,0.962,0.028,0.316,0.962,0.147,0.365,0.185,0.147,0.185,1.983,0.365,0.469,1.103,0.08,0.316,0.365,0.316,0.416,0.316,0.147,0.147,1.176,0.316,0.052,1.176,0.365,0.365,0.08,0.147,0.316,0.27,0.27,3.019,0.416,0.524,0.028,0.226,0.316,0.27,0.185,0.416,3.12,0.365,0.226,0.316,0.052,0.27,0.112,0.365,0.365,0.226,0.365,2.071,0.316,0.365,1.482,0.416,0.08,0.147,0.08,0.08,0.185,3.858,1.032,4.191,0.416,0.316,0.365,0.112,0.365,0.365,0.028,0.185,4.079,0.27,2.82,0.316,0.416,0.08,0.226,0.316,0.365,0.416,0.028,0.112,0.416,0.185,0.112,3.019,0.052,0.226,1.176,0.316,0.185,0.028,0.416,0.962,0.365,0.416,1.032,0.365,0.226,0.08,0.365,0.226,0.416,0.416,0.469
Gambia,0.27,0.27,0.365,0.147,0.416,0.27,0.226,0.27,0.08,0.27,0.27,0.147,0.316,0.27,0.226,0.147,1.482,0.147,1.896,0.08,0.226,0.27,0.112,0.185,0.27,0.147,0.416,0.052,0.185,0.226,0.365,0.185,0.316,0.27,0.27,0.147,0.08,0.147,0.112,0.365,0.365,0.185,1.896,0.185,1.562,0.226,0.27,0.147,0.27,0.147,0.316,0.147,0.185,0.27,0.365,0.27,0.185,1.032,0.112,0.27,1.81,0.365,0,0.185,1.103,0.416,0.185,0.185,0.147,1.896,1.482,0.185,0.27,0.27,0.185,0.226,0.147,0.469,0.185,0.185,0.27,0.226,0.185,0.01,0.226,0.08,0.316,0.27,0.316,0.052,0.052,0.147,0.316,0.365,0.226,0.147,0.185,0.416,0.185,1.81,0.962,0.112,0.147,0.316,0.226,0.185,0.27,0.226,0.226,0.365,0.27,0.08,1.81,0.316,0.147,0.052,0.112,0.27,0.226,0.226,1.032,0.185,0.27,0.052,0.27,0.469,0.226,0.226,0.316,1.896,0.226,0.185,0.185,0.08,0.185,0.112,0.27,0.185,0.147,0.226,0.316,0.962,0.27,0.08,0.316,0.185,0.226,0.08,0.08,0.112,0.185,0.764,4.079,0.185,0.27,3.968,0.27,0.147,0.185,0.08,0.316,0.27,0.112,0.524,0.147,0.365,0.147,0.27,0.147,0.226,0.416,1.032,0.185,0.316,0.147,0.08,0.365,0.052,0.316,0.416,0.581,0.226,0.052,0.365,0.185,0.764,1.81,0.962,0.226,0.185,0.08,1.326,0.112,0.365,0.226,0.226
Georgia,0.469,0.524,0.469,0.052,0.416,0.147,0.469,4.191,0.416,2.16,3.12,0.08,0.365,0.416,0.08,1.25,1.25,0.08,0.226,0.028,0.365,0.524,0.185,0.469,0.226,4.303,0.226,0.27,0.27,0.147,0.27,1.176,0.185,0.08,0.08,0.469,1.983,0.365,0.052,0.27,0.416,0.365,0.316,0.581,0.524,1.25,3.12,1.25,0.052,0.112,0.27,0.365,1.176,0.27,0.147,0.365,2.071,0.416,0.147,1.25,1.983,0.316,0.185,0,2.071,0.365,2.16,0.08,0.27,0.27,0.08,0.112,0.185,2.071,0.27,0.581,0.416,2.071,0.524,2.071,1.25,1.25,2.16,2.071,0.112,1.25,1.176,2.16,0.416,0.028,0.365,0.524,0.469,1.176,0.469,0.226,2.16,0.524,0.27,0.226,0.469,0.052,2.16,0.469,0.524,0.226,0.226,0.416,0.185,0.27,0.416,0.028,0.27,0.316,0.469,0.052,0.524,0.27,0.469,0.416,0.524,0.27,0.185,0.028,0.226,2.071,0.416,0.27,0.147,0.365,0.524,0.365,0.524,0.028,0.27,0.08,0.316,0.416,0.469,3.12,0.524,0.469,2.16,5.484,0.27,0.112,0.112,0.052,0.052,0.226,0.028,0.524,0.316,0.581,0.226,0.147,0.226,1.326,1.25,0.028,0.226,1.032,0.08,1.176,0.416,0.416,0.08,0.08,2.071,1.25,0.524,0.028,0.316,0.316,0.469,0.052,0.147,0.028,0.147,0.469,4.303,0.962,0.028,0.416,3.222,0.469,3.019,1.726,0.469,1.176,0.028,0.469,0.524,0.469,0.365,0.365
Germany,2.919,4.079,3.222,0,3.019,0.365,3.222,1.726,2.251,7.022,3.019,0.316,3.75,2.071,0.365,2.071,5.732,0,1.482,0,2.251,4.191,0.365,4.417,1.81,4.417,1.032,2.625,0.365,2.071,1.726,7.022,1.032,0.365,0.962,3.222,5.732,4.191,0,0.524,1.983,2.919,1.983,4.303,3.326,4.303,7.022,10,0.01,0,3.019,3.019,4.417,2.436,1.032,1.81,3.858,3.642,0,4.417,5.732,1.403,1.103,2.071,0,1.983,3.326,0,2.625,1.25,0.316,0,1.032,2.251,2.436,4.417,3.019,5.732,3.326,4.417,3.222,4.417,4.417,4.417,1.81,4.417,4.191,3.12,3.019,0,1.403,4.417,3.326,4.303,0.962,1.103,4.079,4.303,0.365,1.032,3.222,0.316,4.079,2.16,4.079,0.962,0.962,4.417,0.365,1.103,1.983,0,1.032,1.896,3.222,0,1.983,0.365,1.176,3.12,4.417,1.176,1.896,0,1.176,10,1.896,1.983,0.962,3.222,4.417,3.019,4.417,0,2.919,0,1.482,3.12,2.251,7.022,3.326,3.222,4.417,4.417,1.032,0,0.316,0,0,0,0,3.326,2.071,4.417,0.365,1.032,4.079,2.16,4.191,0,0.365,4.417,0.365,4.417,4.191,3.12,0,0,7.022,7.022,3.12,0.581,0.962,2.625,4.417,0,1.032,0,0.962,3.12,5.732,0.962,0,1.326,4.417,4.417,7.022,10,3.019,1.482,0,3.222,3.222,2.919,1.032,1.25
Ghana,0.316,0.416,1.25,0.052,4.303,0.147,0.524,0.316,1.896,0.524,0.316,0.08,0.27,0.416,0.147,0.365,1.25,0.052,5.362,0.01,0.316,0.469,0.226,2.16,0.27,1.176,3.968,0.27,0.226,0.147,2.16,2.071,1.983,0.27,0.185,0.469,2.071,0.469,0.052,2.071,3.12,0.27,6.889,0.469,2.071,0.469,2.071,1.983,0.147,0.08,0.365,0.416,3.12,0.226,2.919,0.365,0.316,1.983,0.185,0.469,2.071,2.16,0.416,0.365,1.983,0,0.524,0.08,0.185,1.176,0.112,0.08,0.185,1.176,0.226,0.524,0.27,1.983,0.469,1.176,0.469,0.524,1.176,1.983,0.185,1.983,1.103,0.416,1.176,0.01,0.894,1.176,0.185,0.524,0.147,0.147,0.27,2.071,0.316,1.032,2.16,0.052,0.316,0.469,0.365,0.27,0.226,1.896,0.226,1.176,0.416,0.028,0.469,0.365,0.469,0.028,0.08,0.27,0.27,0.112,3.12,0.416,3.019,0.01,0.27,3.019,0.316,0.147,1.643,4.417,1.176,0.365,0.469,0.028,0.27,0.112,0.365,0.469,0.469,0.524,2.16,0.469,0.524,2.071,0.416,0.147,0.08,0.028,0.052,0.08,1.726,1.176,2.16,1.103,0.185,1.726,0.226,0.469,0.416,0.01,0.112,4.303,0.185,3.12,0.416,0.469,0.08,0.185,0.469,2.071,0.469,0.028,0.052,0.416,0.469,0.052,5.362,0.028,0.185,0.524,0.524,0.08,0.01,0.469,0.524,1.176,6.237,2.82,0.416,0.226,0.028,0.469,0.365,0.469,0.469,0.524
